Name,RA,DEC,g_elves_mag,r_elves_mag_orig,i_elves_mag,g_elves_err,r_elves_err_orig,i_elves_err,log_sm,log_sm_err,quenched,HOST,RHOST_KPC,HOST_DIST,HOST_MK,HOST_LOG_SM,Mg,Mv,sb_v,sb_v_err,radius,radius_err,sbf_distance,r_elves_mag,r_elves_err,g_mag,r_mag,g_err,r_err,Mr,l_SFRHa,SFRHa,l_SFRFUV,SFRFUV,quenched_sfr,FUV_upper_limit_flag,Ha_upper_limit_flag,Name_Host,r_cover,Confirmed,Psat
NGC247,11.7834,-20.757,9.44,8.96,,0.08,0.09,,9.41,0.13,0,NGC253,282.2,3.56,-23.95,10.77,-18.31,-18.6,21.27,0.11,4278.3,199.3,,8.96,0.09,9.38868,8.851360000000001,0.0773405585705197,0.0893717544865266,-18.907208000000004,,,,,,0,0,NGC253,300,True,1.0
dw0047m2623,11.8939,-26.3898,18.89,18.33,,0.11,0.11,,5.77,0.14,1,NGC253,68.5,3.56,-23.95,10.77,-8.86,-9.19,26.59,0.15,453.9,39.8,,18.33,0.11,18.83596,18.22192,0.1063257974341128,0.1092327139642698,-9.530376,,,<,-5.18,1.0,1,0,NGC253,300,True,1.0
dw0049m2100,12.4537,-21.0167,15.07,14.89,,0.09,0.09,,6.62,0.13,0,NGC253,267.9,3.56,-23.95,10.77,-12.69,-12.79,23.2,0.11,627.1,31.8,,14.89,0.09,15.02888,14.77926,0.0869938342642741,0.0893722205162208,-12.972828,,-4.14,,-2.86,0.0,0,0,NGC253,300,True,1.0
dw0050m2444,12.5749,-24.7367,18.22,17.95,,0.1,0.1,,5.53,0.13,1,NGC253,51.7,3.56,-23.95,10.77,-9.53,-9.7,27.91,0.13,1539.2,115.0,,17.95,0.1,18.17582,17.83989,0.0966598158491935,0.0993024672402453,-9.920141999999998,,,,,,0,0,NGC253,300,True,1.0
dw0055m2309,13.7538,-23.1688,17.49,17.14,,0.09,0.1,,5.95,0.13,0,NGC253,169.0,3.56,-23.95,10.77,-10.26,-10.47,23.75,0.12,279.1,18.1,,17.14,0.1,17.443099999999998,17.030450000000002,0.0870064572316331,0.0993019984693158,-10.723309999999998,,,,-3.79,0.0,0,0,NGC253,300,True,1.0
dw0036m2828,9.1273,-28.4701,18.67,18.47,,0.11,0.11,,5.23,0.13,0,NGC253,250.4,3.56,-23.95,10.77,-9.08,-9.21,24.39,0.14,311.7,25.8,,18.47,0.11,18.628200000000003,18.3594,0.1063257974341128,0.1092327139642698,-9.401120000000002,,,,-4.85,0.0,0,0,NGC253,300,False,0.05
dw0132p1422,23.2486,14.3736,16.05,15.85,,0.09,0.09,,7.14,0.13,0,NGC628,284.7,9.77,-22.79,10.45,-13.9,-14.02,22.02,0.11,715.4,38.7,,15.85,0.09,16.008200000000002,15.7394,0.0869938342642741,0.0893722205162208,-14.211119999999998,,-2.35,,,0.0,0,0,NGC628,300,True,1.0
dw0133p1543,23.4842,15.7314,19.94,19.38,,0.14,0.13,,6.22,0.15,1,NGC628,113.5,9.77,-22.79,10.45,-10.01,-10.34,23.93,0.2,214.4,25.6,9.18,19.38,0.13,19.88596,19.27192,0.1353122093530366,0.1290937198317563,-10.680376,,,,,,0,0,NGC628,300,True,1.0
dw0134p1544,23.5537,15.7463,17.57,17.07,,0.1,0.1,,7.07,0.13,1,NGC628,102.0,9.77,-22.79,10.45,-12.38,-12.68,24.0,0.12,1078.1,65.9,10.5,17.07,0.1,17.518,16.9615,0.0966598158491935,0.0993024672402453,-12.9955,,,,,,0,0,NGC628,300,True,1.0
dw0134p1438,23.6741,14.6444,17.06,16.86,,0.09,0.1,,6.74,0.13,0,NGC628,210.9,9.77,-22.79,10.45,-12.89,-13.01,21.73,0.12,497.9,30.2,,16.86,0.1,17.0182,16.7494,0.0870064572316331,0.0993019984693158,-13.201119999999996,,-2.85,,,0.0,0,0,NGC628,300,True,1.0
